Pairing ID,	Main Layover, Sequence,	Pairing Length(in days), No.of Legs, Max LNj, Min LNj, Pairing Length(in duty hours), Pairing Length(in block hours), Start time ,End time, Rest End time
89,-,-,3,2,2,2,5,3,4/8/2017 17:50:0,4/8/2017 23:20:0,4/10/2017 0:10:0,
90,PEK,-,5,2,1,1,66,15,4/10/2017 5:55:0,4/13/2017 0:40:0,4/14/2017 9:30:0,
91,BKK,-,4,4,3,1,41,10,4/16/2017 12:5:0,4/18/2017 6:0:0,4/19/2017 12:0:0,
92,-,-,3,2,2,2,5,3,4/19/2017 17:50:0,4/19/2017 23:20:0,4/21/2017 0:10:0,
93,-,-,4,2,2,2,12,10,4/21/2017 11:50:0,4/21/2017 23:55:0,4/24/2017 0:30:0,
94,DOH,-,4,4,3,1,41,13,4/26/2017 6:55:0,4/28/2017 0:50:0,4/29/2017 0:10:0,
95,RUH,-,4,2,1,1,37,11,4/6/2017 11:25:0,4/8/2017 1:15:0,4/9/2017 0:10:0,
96,-,-,2,2,2,2,10,7,4/9/2017 0:55:0,4/9/2017 10:55:0,4/9/2017 22:55:0,
97,LHR,-,6,2,1,1,49,23,4/11/2017 6:0:0,4/13/2017 7:40:0,4/16/2017 0:30:0,
98,-,-,3,2,2,2,11,9,4/16/2017 12:30:0,4/16/2017 23:55:0,4/18/2017 17:30:0,
99,-,-,3,2,2,2,5,3,4/18/2017 18:25:0,4/19/2017 0:0:0,4/20/2017 0:10:0,
100,-,-,2,2,2,2,9,7,4/21/2017 6:35:0,4/21/2017 16:5:0,4/22/2017 17:30:0,
101,RUH,-,4,2,1,1,37,11,4/24/2017 11:25:0,4/26/2017 1:15:0,4/27/2017 0:10:0,
102,-,-,2,2,2,2,10,8,4/27/2017 0:40:0,4/27/2017 11:20:0,4/28/2017 12:29:0,
103,-,-,4,2,2,2,13,11,4/29/2017 11:45:0,4/30/2017 1:0:0,5/2/2017 0:30:0,
104,-,-,3,2,2,2,7,5,4/4/2017 16:50:0,4/5/2017 0:35:0,4/6/2017 0:10:0,
105,PVG,-,4,4,3,1,48,15,4/6/2017 0:45:0,4/8/2017 0:55:0,4/9/2017 9:30:0,
106,LHR,-,6,2,1,1,49,23,4/10/2017 6:0:0,4/12/2017 7:40:0,4/15/2017 0:30:0,
107,DOH,-,4,4,3,1,42,13,4/15/2017 6:40:0,4/17/2017 0:50:0,4/18/2017 0:10:0,
108,-,-,3,2,2,2,11,9,4/18/2017 12:30:0,4/18/2017 23:55:0,4/20/2017 17:30:0,
109,-,-,3,2,2,2,5,3,4/20/2017 17:50:0,4/20/2017 23:20:0,4/22/2017 0:10:0,
110,-,-,2,2,2,2,10,8,4/23/2017 0:35:0,4/23/2017 11:20:0,4/24/2017 12:29:0,
111,-,-,2,2,2,2,12,10,4/26/2017 0:30:0,4/26/2017 12:30:0,4/27/2017 0:30:0,
112,-,-,3,2,2,2,10,8,4/27/2017 13:20:0,4/28/2017 0:5:0,4/29/2017 0:10:0,
113,BKK,-,4,4,3,1,38,10,4/3/2017 11:50:0,4/5/2017 2:20:0,4/6/2017 8:20:0,
114,DOH,-,4,4,3,1,42,13,4/7/2017 6:45:0,4/9/2017 0:50:0,4/10/2017 0:10:0,
115,-,-,2,2,2,2,10,8,4/10/2017 7:10:0,4/10/2017 17:20:0,4/11/2017 17:30:0,
116,-,-,3,2,2,2,5,3,4/13/2017 17:50:0,4/13/2017 23:20:0,4/15/2017 0:10:0,
117,KWI,-,4,2,1,1,37,11,4/15/2017 11:25:0,4/17/2017 1:15:0,4/18/2017 0:10:0,
118,-,-,2,2,2,2,10,8,4/18/2017 0:40:0,4/18/2017 11:20:0,4/19/2017 12:29:0,
119,-,-,2,2,2,2,10,8,4/20/2017 0:40:0,4/20/2017 11:20:0,4/21/2017 12:29:0,
120,-,-,3,2,2,2,11,9,4/21/2017 12:30:0,4/21/2017 23:55:0,4/23/2017 17:30:0,
121,-,-,2,2,2,2,9,7,4/25/2017 6:35:0,4/25/2017 16:5:0,4/26/2017 17:30:0,
122,-,-,4,2,2,2,12,10,4/27/2017 11:55:0,4/28/2017 0:0:0,4/30/2017 0:30:0,
123,-,-,2,2,2,2,10,7,4/30/2017 0:55:0,4/30/2017 10:55:0,4/30/2017 22:55:0,
124,-,-,4,2,2,2,13,11,4/8/2017 11:45:0,4/9/2017 1:0:0,4/11/2017 0:30:0,
125,JED,-,5,2,1,1,63,13,4/13/2017 7:55:0,4/15/2017 23:25:0,4/17/2017 0:10:0,
126,-,-,2,2,2,2,9,7,4/17/2017 6:35:0,4/17/2017 16:5:0,4/18/2017 17:30:0,
127,KUL,-,4,4,3,1,40,11,4/20/2017 12:0:0,4/22/2017 4:45:0,4/23/2017 10:45:0,
128,-,-,3,2,2,2,7,5,4/23/2017 16:55:0,4/24/2017 0:35:0,4/25/2017 0:10:0,
129,BKK,-,4,4,3,1,41,10,4/26/2017 12:5:0,4/28/2017 6:0:0,4/29/2017 12:0:0,
130,-,-,3,2,2,2,11,9,4/29/2017 12:30:0,4/29/2017 23:55:0,5/1/2017 17:30:0,
131,-,-,2,2,2,2,10,7,4/5/2017 1:10:0,4/5/2017 11:50:0,4/5/2017 23:50:0,
132,-,-,3,2,2,2,11,9,4/6/2017 12:30:0,4/6/2017 23:55:0,4/8/2017 17:30:0,
133,-,-,3,2,2,2,5,3,4/8/2017 17:50:0,4/8/2017 23:20:0,4/10/2017 0:10:0,
134,-,-,2,2,2,2,10,8,4/10/2017 0:35:0,4/10/2017 11:20:0,4/11/2017 12:29:0,
135,SIN,-,4,4,3,1,42,11,4/12/2017 11:45:0,4/14/2017 6:5:0,4/15/2017 12:5:0,
136,-,-,3,2,2,2,7,5,4/15/2017 16:55:0,4/16/2017 0:35:0,4/17/2017 0:10:0,
137,-,-,2,2,2,2,10,6,4/19/2017 1:40:0,4/19/2017 12:30:0,4/20/2017 0:30:0,
138,PVG,-,4,2,1,1,41,15,4/20/2017 6:40:0,4/22/2017 0:35:0,4/23/2017 9:30:0,
139,-,-,4,2,2,2,13,11,4/23/2017 11:45:0,4/24/2017 1:0:0,4/26/2017 0:30:0,
140,LHR,-,6,2,1,1,49,23,4/26/2017 6:0:0,4/28/2017 7:40:0,5/1/2017 0:30:0,
141,-,-,2,2,2,2,11,3,4/3/2017 0:40:0,4/3/2017 11:50:0,4/3/2017 23:50:0,
142,NRT,-,7,2,1,1,72,19,4/5/2017 12:25:0,4/8/2017 12:45:0,4/11/2017 0:30:0,
143,-,-,4,2,2,2,12,10,4/13/2017 11:55:0,4/14/2017 0:0:0,4/16/2017 0:30:0,
144,-,-,2,2,2,2,10,8,4/16/2017 0:35:0,4/16/2017 11:20:0,4/17/2017 12:29:0,
145,-,-,3,2,2,2,5,3,4/17/2017 17:50:0,4/17/2017 23:20:0,4/19/2017 0:10:0,
146,-,-,2,2,2,2,10,8,4/19/2017 5:30:0,4/19/2017 16:25:0,4/20/2017 12:29:0,
147,-,-,3,2,2,2,5,3,4/22/2017 17:50:0,4/22/2017 23:20:0,4/24/2017 0:10:0,
148,DOH,-,4,4,3,1,41,13,4/24/2017 6:55:0,4/26/2017 0:50:0,4/27/2017 0:10:0,
149,-,-,2,2,2,2,12,10,4/29/2017 0:30:0,4/29/2017 12:30:0,4/30/2017 0:30:0,
